,CaseType,CaseWorkclass,CaseStatus,IssueDate,ApplyDate,ExpireDate,FinalDate,AddressLine1,AddressLine2,AddressLine3,PostalCode,Description
9450,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-12-01T12:20:31Z,2022-08-17T13:24:21.427Z,2023-08-21T15:00:51Z,2023-02-23T05:00:00Z,701,Liberty,,48103,2.8 kW Residential Roof Solar System
9471,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-10-11T19:54:28Z,2022-08-19T16:25:50.35Z,2023-08-14T15:43:38Z,2023-02-15T05:00:00Z,2967,Omlesaad,,48105,11.2 kW Residential Roof-mount Solar System
9483,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Expired,2022-08-26T20:28:07Z,2022-08-19T17:26:48.577Z,2023-02-22T21:27:32Z,2023-02-22T05:00:00Z,821,Bruce,,48103,Duvall 2kW Residential Solar System *Duplicate of ELECR22-3441*
9487,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Expired,2022-08-29T19:05:01Z,2022-08-19T20:51:33.3Z,2023-08-01T14:05:10Z,2023-08-01T04:00:00Z,1408,Wakefield,,48103,Harp 4kW Residential Solar System
9488,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-08-29T19:04:31Z,2022-08-20T00:09:46.067Z,2023-08-15T17:37:56Z,2023-02-17T05:00:00Z,3152,Eagle,,48105,Dolce 8kW Residential Roof-mount Solar System
9501,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-09-15T19:00:55Z,2022-08-21T19:32:29.42Z,2023-06-12T15:38:14Z,2023-01-05T05:00:00Z,3344,Yellowstone,,48105,Install 32 panel solar array on residence rooftop
9512,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-08-29T18:57:26Z,2022-08-22T16:30:34.05Z,2023-10-30T14:40:33Z,2023-05-02T04:00:00Z,1557,Franklin,,48103,Benjamin 6.4kW Residential Roof-mount Solar System
9513,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-08-29T19:04:45Z,2022-08-22T17:16:22.363Z,2023-10-10T15:51:19Z,2023-04-06T04:00:00Z,2129,Brockman,,48104,Nidetz 7.2kW Residential Roof-mount Solar System
9520,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-08-29T19:04:09Z,2022-08-22T19:16:58.25Z,2023-07-24T13:57:49Z,2023-01-25T05:00:00Z,1406,Washington,,48103,"Installation of a roof-mounted solar array consisting of (20) solar panels with micro-inverters, (2) Tesla Powerwall batteries, and a surge arrester."
9562,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Final,2022-09-15T12:28:38Z,2022-08-24T16:46:57.213Z,2023-08-02T14:45:56Z,2023-01-31T05:00:00Z,834,Dartmoor,,48103,Installing new invertor and battery for existing solar system on the house. Service upgrade to 320 amp panel (added for Dave)
9926,Building (Residential) - Solar - Ground,Solar - Ground/Roof,Final,2022-09-15T12:32:02Z,2022-08-30T16:30:54.477Z,2023-08-14T16:45:04Z,2023-02-15T05:00:00Z,3445,Andover,,48105,Propose to install solar panels on the existing roof of the home. All materials to be installed to manufacturer specifications per local snow and wind load.
10013,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Final,2022-09-15T12:28:38Z,2022-08-24T16:46:57.213Z,2023-08-02T14:45:56Z,2023-01-31T05:00:00Z,834,Dartmoor,,48103,Installing new invertor and battery for existing solar system on the house. Service upgrade to 320 amp panel (added for Dave)
10022,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-08-26T18:46:01Z,2022-08-25T14:02:17.107Z,2023-04-24T15:30:20Z,2022-10-26T04:00:00Z,311,Montgomery,,48103,7.2 kW roof mount solar
10052,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Final,2022-09-15T12:31:22Z,2022-08-30T15:52:32.39Z,2023-08-14T16:45:04Z,2023-02-09T05:00:00Z,3445,Andover,,48105,installation of solar array and connection to existing electrical system
10065,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-09-23T10:35:50Z,2022-08-31T13:13:10.13Z,2023-07-18T14:32:14Z,2023-01-20T05:00:00Z,911,Gott,,48103,7.2 kW roof mount array
10475,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-09-23T10:35:50Z,2022-08-31T13:13:10.13Z,2023-07-18T14:32:14Z,2023-01-20T05:00:00Z,911,Gott,,48103,7.2 kW roof mount array
10489,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-09-15T12:29:59Z,2022-09-01T18:50:44.183Z,2023-05-01T22:58:51Z,2022-11-02T04:00:00Z,1124,Saunders,,48103,"Installation of a 6.2kW solar system at 1124 Saunders Cres.  System consists of 18 solar panels, 1 inverter, 18 optimizers, required AC Disconnect, racking, flashings, and wiring."
10490,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-09-19T17:37:57Z,2022-09-01T19:21:34.107Z,2023-05-01T15:24:28Z,2022-11-01T04:00:00Z,2851,Renfrew,,48105,"Installation of a 6.1kW system using 18 solar panels, 1 inverter, 18 optimizers, AC Disconnect, racking, flashings, and wiring.  Upgrade main house service panel to 200AMP and run a dedicated hardwire line with 150 AMP sub panel placed in the garage."
10494,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-09-15T12:29:21Z,2022-09-02T22:13:51.557Z,2023-05-16T15:29:15Z,2022-11-18T05:00:00Z,3308,Dobson,,48105,"Install 24 panel solar array, roof mount, grid tied"
10498,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-10-05T10:38:15Z,2022-09-06T16:18:09.447Z,2023-05-02T14:47:01Z,2022-11-05T04:00:00Z,825,Sunrise,,48103,Roof mounted solar array 2.92 kW
10754,Building (Residential) - Solar - Ground,Solar - Ground/Roof,Final,2022-09-19T17:39:05Z,2022-09-13T01:59:12.097Z,2023-09-18T14:15:56Z,2023-03-23T04:00:00Z,1435,Catalina,,48103,Install residential rooftop solar system interconnected with homes existing service equipment. 33 solar panels @ 13.2kW DC
10758,Building (Residential) - Solar - Ground,Solar - Ground/Roof,Final,2022-09-15T12:28:54Z,2022-09-13T14:08:29.323Z,2023-08-02T14:45:56Z,2023-02-04T05:00:00Z,834,Dartmoor,,48103,Propose to install solar panels on existing roof of the home. All materials to be installed to manufacturer specifications per local snow and wind load.
10871,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Final,2022-10-05T10:39:23Z,2022-09-13T01:57:43.07Z,2023-09-18T14:34:56Z,2023-03-21T04:00:00Z,1435,Catalina,,48103,"Install residential rooftop solar system interconnected with homes existing service equipment, 33 panels @13.2kW DC"
11214,Building (Residential) - Solar - Ground,Solar - Ground/Roof,Expired,2022-10-11T19:28:46Z,2022-09-19T13:26:54.477Z,2023-04-10T19:27:36Z,2022-12-07T18:51:16Z,3352,Nordman,,48108,Installing 24 roof mounted solar panels.
11326,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Final,2022-10-15T16:04:51Z,2022-09-19T15:25:18.03Z,2023-08-10T12:50:19Z,2023-02-12T05:00:00Z,707,Mt Vernon,,48103,Roof Top Solar Installation
11616,Building (Commercial) - Solar - Ground/Roof,Solar - Ground/Roof,Final,2022-10-10T16:22:59Z,2022-09-26T13:51:07Z,2023-06-12T15:34:56Z,2022-12-15T05:00:00Z,3170,Packard,,48108,20 solar panel array to be installed on roof.
11715,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Expired,2022-10-05T10:36:50Z,2022-09-22T13:00:36.36Z,2023-04-03T10:36:16Z,2023-04-03T04:00:00Z,405,Awixa,,48104,Install solar electric panels to the roof of existing home to be interconnected with the home's electrical system. Install 10 panels at 4.0 kW
11721,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-10-05T10:37:28Z,2022-09-22T14:10:10.25Z,2023-08-07T18:33:23Z,2023-02-18T05:00:00Z,1057,Newport,,48103,Install solar electric panels to the roof of existing home to be interconnected with the home's electrical system. Install 9 panels at 3.6 kW
11747,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-10-11T19:59:02Z,2022-09-27T00:28:11.627Z,2023-07-03T15:39:52Z,2023-01-04T05:00:00Z,1301,Arborview,,48103,"Install 14 panel solar array roof mount, grid tied"
11748,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-10-11T20:00:00Z,2022-09-27T01:28:59.183Z,2023-06-12T14:12:28Z,2023-01-05T05:00:00Z,1107,Olivia,,48104,"Install 28 panel solar array on residence rooftop, grid tied"
11749,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-10-11T19:59:28Z,2022-09-27T02:35:08.74Z,2023-08-16T15:26:13Z,2023-02-18T05:00:00Z,623,Trego,,48103,"Install 21 panel solar array on residence rooftop, grid tied"
11760,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-10-11T19:58:37Z,2022-09-27T15:18:34.33Z,2023-11-06T16:55:42Z,2023-05-11T04:00:00Z,6,Dover,,48103,7.2kW Residential Roof Solar System
11761,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Expired,2022-12-01T12:21:03Z,2022-09-27T18:44:14.363Z,2023-08-16T16:55:30Z,2023-08-16T04:00:00Z,3515,Larchmont,,48105,8.8kW Residential Roof Solar System
11762,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-12-01T12:20:09Z,2022-09-27T20:09:38.21Z,2023-10-23T14:56:00Z,2023-04-26T04:00:00Z,3,Dover,,48103,Valdes-Pierce 4.8kW Residential Roof-mount Solar System
12160,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-10-11T19:57:15Z,2022-10-04T22:12:40.183Z,2023-09-11T13:07:07Z,2023-03-14T04:00:00Z,2897,Eisenhower,,48108,5.12kW roof mount array
12533,Electrical (Commercial) - Solar - Ground/Roof,Solar [Ground/Roof],Final,2022-10-14T10:19:25Z,2022-10-07T12:06:19Z,2023-10-16T15:36:12Z,2023-04-12T04:00:00Z,3,Eden,,48108,Adding 6.4kW array to existing 6.67 kW array  **SEE ELECR22-3956 FOR FEES**
12554,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Void - Wrong Workclass,,2022-10-06T17:33:54.163Z,,,3,Eden,,48108,"Adding 6.4kW array to existing 6.67 kW array  **VOIDED-WRONG WORKCLASS.  SEE ELECC22-2438.**
Removing existing inverter and adding 2, 10kW inverters and 2, 16kWh batteries with backup interface"
12604,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-10-14T10:20:10Z,2022-10-10T19:09:50.13Z,2023-07-10T17:44:17Z,2023-01-10T16:05:16Z,705,Gott,,48103,9.6 kW roof mount array
12609,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-10-14T10:18:24Z,2022-10-11T00:43:14.297Z,2023-08-14T13:59:53Z,2023-02-15T05:00:00Z,1204,Wells,,48104,"13 panel solar array, roof mount on residence"
12903,Building (Residential) - Solar - Ground,Solar - Ground/Roof,Final,2022-10-27T18:43:13Z,2022-10-14T15:16:21.17Z,2023-08-14T13:15:16Z,2023-02-14T05:00:00Z,1561,Newport Creek,,48103,Propose to install Solar panels on the existing roof of the home. All materials to be installed to manufacturer specifications per local snow and wind load.
12986,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Final,2022-10-27T18:22:25Z,2022-10-14T14:54:22.32Z,2023-08-14T13:15:16Z,2023-02-08T05:00:00Z,1561,Newport Creek,,48103,Installation of Solar Array and connection to existing electrical system.
12999,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-10-27T18:21:42Z,2022-10-17T18:34:32.257Z,2023-06-19T17:17:19Z,2023-01-05T05:00:00Z,2110,Ardenne,,48105,4.4 kW roof mount array with 16kWh battery
13003,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Withdrawn,,2022-10-17T20:53:23.203Z,,,3662,Wellington Cross,,48105,8.0 kW roof mount solar array
13004,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-10-27T18:21:17Z,2022-10-17T21:10:10.19Z,2023-08-15T13:35:53Z,2023-02-17T05:00:00Z,3662,Wellington Cross,,48105,8 kW roof mount system
13005,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-10-27T18:21:31Z,2022-10-17T22:30:30.177Z,2023-10-23T18:46:48Z,2023-04-26T04:00:00Z,1710,South,,48104,6.84 kW roof mount array
13266,Building (Residential) - Solar - Ground,Solar - Ground/Roof,Expired,2022-10-27T18:40:47Z,2022-10-24T19:29:35.11Z,2023-08-09T16:28:01Z,2023-08-09T04:00:00Z,428,Colin,,48103,install 37 PV solar panels on roof
13289,Building (Residential) - Solar - Ground,Solar - Ground/Roof,Fees Paid,,2022-10-26T14:46:18.403Z,,,119,Longman,,48103,installing 12 roof mounted solar panels.
13316,Electrical (Commercial) - Solar - Ground/Roof,Solar [Ground/Roof],Final,2022-11-03T11:14:52Z,2022-10-24T16:25:24.1Z,2023-07-24T15:12:55Z,2023-01-19T05:00:00Z,2394,Winewood,,48103,Installation of 16 kW roof mount solar
13357,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-12-14T22:59:30Z,2022-10-20T19:24:54Z,2023-07-10T15:07:01Z,2023-01-11T05:00:00Z,2599,Bellwood,,48104,8.64 kW Roof Mounted 24 Panel Solar Array
13373,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-11-03T11:17:12Z,2022-10-24T15:36:45.61Z,2023-10-16T14:37:07Z,2023-04-20T04:00:00Z,603,Washington,,48103,9.88 kW roof mount solar
13380,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-11-03T11:16:34Z,2022-10-24T21:14:07.557Z,2023-10-18T13:40:06Z,2023-04-22T04:00:00Z,428,Colin,,48103,install 37 pv solar panels on roof
13412,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-11-03T11:13:43Z,2022-10-26T22:08:59.207Z,2023-07-31T14:36:10Z,2023-02-02T05:00:00Z,2661,Georgetown,,48105,8.4kW roof mount solar
13713,Building (Residential) - Solar - Ground,Solar - Ground/Roof,Fees Paid,,2022-10-26T14:46:18.403Z,,,119,Longman,,48103,installing 12 roof mounted solar panels.
13881,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-11-03T11:13:43Z,2022-10-26T22:08:59.207Z,2023-07-31T14:36:10Z,2023-02-02T05:00:00Z,2661,Georgetown,,48105,8.4kW roof mount solar
13889,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-11-03T11:14:17Z,2022-10-27T17:22:05.217Z,2023-07-17T15:57:51Z,2023-01-19T05:00:00Z,1405,Jorn,,48104,7.6 kW Roof Mounted 20 Panel Solar Array
13925,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Final,2022-11-03T11:12:58Z,2022-10-31T19:18:50.4Z,2023-07-17T15:29:07Z,2023-01-27T05:00:00Z,2110,Crestland,,48104,Propose to install solar array and connect to existing electrical system.
13966,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Final,2022-11-23T12:17:13Z,2022-11-02T22:22:05.493Z,2023-06-05T13:16:22Z,2022-12-08T05:00:00Z,3352,Nordman,,48108,"Add 24 roof mounted, grid tied solar panels. 
200 amp panel swap. 
2 solar disconnects. 
11.4 inverter"
14368,Building (Commercial) - Solar - Ground/Roof,Solar - Ground/Roof,Final,2022-12-02T20:57:25Z,2022-11-09T14:34:33Z,2023-07-24T15:12:55Z,2023-01-25T05:00:00Z,2394,Winewood,,48103,"16 KW Roof Mount Solar (Stream error, manually submitted in back office)"
14470,Electrical (Commercial) - Solar - Ground/Roof,Solar [Ground/Roof],Final,2022-12-01T12:13:29Z,2022-11-06T19:33:56Z,2023-06-12T15:34:56Z,2022-12-13T05:00:00Z,3170,Packard,,48108,Install 7.6kw solar system  **SEE ELECC22-2460 FOR FEES**
14502,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Final,2022-11-23T12:17:13Z,2022-11-02T22:22:05.493Z,2023-06-05T13:16:22Z,2022-12-08T05:00:00Z,3352,Nordman,,48108,"Add 24 roof mounted, grid tied solar panels. 
200 amp panel swap. 
2 solar disconnects. 
11.4 inverter"
14819,Building (Commercial) - Solar - Ground/Roof,Solar - Ground/Roof,Final,2022-12-02T20:57:25Z,2022-11-09T14:34:33Z,2023-07-24T15:12:55Z,2023-01-25T05:00:00Z,2394,Winewood,,48103,"16 KW Roof Mount Solar (Stream error, manually submitted in back office)"
14860,Building (Residential) - Solar - Ground,Solar - Ground/Roof,Void - Wrong Workclass,,2022-11-14T15:59:58.643Z,,,1575,Westfield,,48103,"11 panel roof mounted solar array with a 14,000kw generator."
14869,Building (Residential) - Solar - Ground,Solar - Ground/Roof,Void - Wrong Workclass,,2022-11-14T19:25:55.093Z,,,703,Davis,,48103,Propose to install solar panels on the existing roof of the home. All materials to be installed to manufacturer specifications per local wind and snow load.
14943,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Final,2022-12-01T12:21:53Z,2022-11-11T13:23:41.503Z,2024-03-25T14:43:18Z,2023-10-30T12:32:23Z,1880,Robert,,48104,roof mounted solar install of 5.27kW
14968,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Final,2022-12-01T12:21:38Z,2022-11-14T15:51:05.243Z,2023-09-18T19:52:27Z,2023-03-23T04:00:00Z,1575,Westfield,,48103,11 panel roof mounted solar array
14973,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Final,2022-12-01T21:53:53Z,2022-11-14T19:15:51.427Z,2023-07-31T13:41:36Z,2023-02-01T05:00:00Z,703,Davis,,48103,Propose to install solar panels and connect to existing electrical system.
15227,Building (Residential) - Solar - Ground,Solar - Ground/Roof,Fees Paid,,2022-11-17T15:26:04.17Z,,,448,Colin,,48103,Install 11 PV solar panels on roof
15230,Building (Residential) - Solar - Ground,Solar - Ground/Roof,Void - Wrong Workclass,,2022-11-17T17:18:09.407Z,,,3,Hermina,,48103,Installation of new solar PV system on rooftop of site address
15252,Building (Residential) - Solar - Ground,Solar - Ground/Roof,Final,2023-01-26T19:33:19Z,2022-11-21T19:28:32.2Z,2023-09-19T13:18:46Z,2023-03-24T04:00:00Z,1610,Northbrook,,48103,Propose to install 15 solar panels on the existing roof of the home.
15307,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-12-01T12:21:24Z,2022-11-17T15:09:58.233Z,2023-09-05T21:32:21Z,2023-03-10T05:00:00Z,448,Colin,,48103,Install 11 PV solar panels
15310,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Void,,2022-11-17T17:26:33.227Z,,,3,Hermina,,48103,*replaced by ELECR22-4396*Installation of new solar PV system on rooftop of site address
15311,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-12-01T12:20:18Z,2022-11-17T22:25:17.583Z,2023-10-17T14:12:49Z,2023-04-21T04:00:00Z,2736,Manchester,,48104,8.36 kW Roof Mount Array
15319,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Final,2022-12-01T12:20:02Z,2022-11-18T23:56:42.56Z,2023-06-12T15:10:04Z,2022-12-13T05:00:00Z,119,Longman,,48103,"Add 12 grid tied, roof mounted solar panel. 
Add solar disconnect next to electrical meter. 
Back feed 20 amp breaker in main panel."
15337,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Final,2022-12-14T22:56:52Z,2022-11-21T19:52:32.343Z,2023-09-19T13:18:46Z,2023-03-21T04:00:00Z,1610,Northbrook,,48103,Propose to install solar and connect to existing electrical system
15599,Building (Residential) - Solar - Ground,Solar - Ground/Roof,Fees Paid,,2022-11-29T14:11:34.613Z,,,1626,Peach,,48105,Customer is expanding his solar array. We will be adding four additional roof solar panels to his current system.
15666,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-12-01T21:44:23Z,2022-11-29T20:12:43.423Z,2023-11-20T16:15:30Z,2023-05-23T04:00:00Z,3,Hermina,,48103,Installation of new solar PV system on rooftop of site address
15993,Building (Residential) - Solar - Ground,Solar - Ground/Roof,Expired,2022-12-07T23:33:11Z,2022-12-05T18:13:27.627Z,2023-06-05T22:32:40Z,2023-06-05T04:00:00Z,2035,Georgetown,,48105,23 panel roof mounted solar array
16118,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-01-20T19:59:51Z,2022-12-01T15:31:52.293Z,2024-04-29T15:13:47Z,2023-11-02T04:00:00Z,3160,Lakewood,,48103,Bishop-Faggett 8.8kW Roof Solar System
16142,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Expired,2022-12-05T20:01:18Z,2022-12-02T21:13:28.28Z,2023-06-05T18:58:54Z,2023-06-05T04:00:00Z,426,Eberwhite,,48103,6.84kW Roof Mount Array
16152,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-12-06T19:40:59Z,2022-12-05T18:04:28.25Z,2023-08-14T21:50:19Z,2023-02-15T05:00:00Z,2035,Georgetown,,48105,23 panel roof mounted solar array
16163,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Final,2022-12-06T19:40:41Z,2022-12-05T22:04:02.337Z,2023-07-10T14:46:12Z,2023-01-12T05:00:00Z,1626,Peach,,48105,Add 4 pv panels to an existing pv system
16179,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-02-24T13:09:39Z,2022-12-06T18:34:03.287Z,2023-09-27T16:09:05Z,2023-04-01T04:00:00Z,3475,Ridgeline,,48105,Bora 9.2kW Residential Roof Solar System
16183,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Void,,2022-12-06T23:01:35.133Z,,,1121,Kay,,48103,"24 panel solar array roof mounted on residence, grid tied **CANCELLED BY CONTRACTOR ON 2/6/23**"
16190,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-12-14T22:54:30Z,2022-12-07T17:19:27.33Z,2023-09-25T14:00:46Z,2023-03-28T04:00:00Z,2224,Prairie,,48105,"Installation of a roof-mounted solar array consisting of (21) solar panels with micro-inverters, a service upgrade form 100A to 200A, installation of a SPAN smart panel, and a Level 2 EV charger."
16634,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-12-14T22:54:30Z,2022-12-07T17:19:27.33Z,2023-09-25T14:00:46Z,2023-03-28T04:00:00Z,2224,Prairie,,48105,"Installation of a roof-mounted solar array consisting of (21) solar panels with micro-inverters, a service upgrade form 100A to 200A, installation of a SPAN smart panel, and a Level 2 EV charger."
17063,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-01-11T16:38:02Z,2022-12-15T19:00:26.61Z,2023-07-18T13:47:11Z,2023-01-20T05:00:00Z,1050,Olivia,,48104,5.04 kW Roof Mounted 14 Panel Solar Array
17065,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-01-11T16:38:18Z,2022-12-15T19:18:10.64Z,2023-10-17T15:04:17Z,2023-04-21T04:00:00Z,1165,Wendy,,48103,5.04 kW Roof Mounted 14 Panel Solar Array with Battery Backup
17067,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-01-11T16:38:27Z,2022-12-15T19:28:41.56Z,2023-07-24T13:31:33Z,2023-01-26T05:00:00Z,1506,Granger,,48104,6.84kW Roof Mounted 19 Panel Solar Array
17438,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-01-11T16:37:51Z,2022-12-27T19:43:49.11Z,2024-02-06T15:11:28Z,2023-08-11T04:00:00Z,2008,Day,,48104,Installation of a roof-mounted solar array consisting of (32) solar panels with micro-inverters and (2) Tesla Powerwall batteries.
17661,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Void,,2023-01-02T20:42:23.393Z,,,2765,Nixon,,48105,"*permit cancelled by contractor over email* 31 panel solar array, roof mounted on residence, grid tied"
17664,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Void,,2023-01-02T21:12:54.637Z,,,2227,Medford,,48104,"*permit cancelled by contractor over email* Install 17 panel solar array on residence roof, grid tied"
17665,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Void,,2023-01-02T21:40:08.13Z,,,1310,Iroquois,,48104,"*permit cancelled by contractor over email* Install 28 panel solar array on residence roof, grid tied"
17666,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Void,,2023-01-02T22:17:59.333Z,,,414,Madison,,48103,"*permit cancelled by contractor over email* Install 28 panel solar array on r3esidence roof, grid tied"
17667,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Void,,2023-01-02T22:48:58.467Z,,,2861,Provincial,,48104,"*permit cancelled by contractor over email* Install 23 panel solar array on residence roof, grid tied"
17668,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Void,,2023-01-02T23:14:55.163Z,,,1121,Clair,,48103,"*permit cancelled by contractor over email* Install12 panel solar array on residence roof, Grid Tied"
17987,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-03-14T20:04:08Z,2023-01-11T18:28:50.657Z,2023-10-16T14:05:54Z,2023-04-19T04:00:00Z,2091,Ascot,,48103,4kW Ballast / Pitched Roof Mounted Solar Array
